,SoldTo,ShipToName,ShipAddr1,ShipAddr2,ShipCity,ShipSt,ShipZIP,OrderNo,DateENT,Customer,PONum,ShipVia,TermsCode,FOB,E2_Customer_Key,E2_Customer_Key2,QuoteNo,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
89,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1541,2020-04-02,Currier Construction,S17-111,,NET 30,FOB???,SCC_4890,SCC_4890,,90,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-04-07
90,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1534,2020-04-03,Currier Construction,S19-311,,NET 30,FOB???,SCC_4890,SCC_4890,,91,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-04-07
91,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1539,2020-04-01,Currier Construction,S19-311,,NET 30,FOB???,SCC_4890,SCC_4890,14571,92,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-04-07
92,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1576,2020-05-28,Currier Construction,WTP,,NET 30,FOB???,SCC_4890,SCC_4890,,93,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-06-01
93,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_1553,2020-04-20,Castle Steel,Mark,,NET 30,FOB???,SCC_4891,SCC_4891,,94,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-04-22
94,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_1503,2020-02-18,Castle Steel,1455-0921,,NET 30,FOB???,SCC_4891,SCC_4891,,95,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-02-20
95,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_2399,2022-10-19,Castle Steel,1688-7770,,NET 30,FOB???,SCC_4891,SCC_4891,,96,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-11-07
96,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_2207,2022-06-09,Castle Steel,1688-7102,,NET 30,FOB???,SCC_4891,SCC_4891,15060,97,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-30
97,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_1881,2021-03-08,Castle Steel,,,NET 30,FOB???,SCC_4891,SCC_4891,,98,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-04-05
98,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_1725,2020-11-10,Castle Steel,HANEE PARK,,NET 30,FOB???,SCC_4891,SCC_4891,,99,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-11-18
99,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_1710,2020-10-23,Castle Steel,10-1884-00 HAND PARK,,NET 30,FOB???,SCC_4891,SCC_4891,,100,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-10-27
100,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_1465,2020-01-02,Castle Steel,1433-3-6200,,NET 30,FOB???,SCC_4891,SCC_4891,14529,101,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-01-06
101,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_1473,2020-01-13,Castle Steel,1433-3-6200,,NET 30,FOB???,SCC_4891,SCC_4891,,102,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-01-20
102,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_1463,2019-12-27,Castle Steel,1433-3-6200,,NET 30,FOB???,SCC_4891,SCC_4891,14529,103,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-01-03
