Error,,ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: dcs_12639 not found for field E2_Quote_Key__c in entity Opportunity:--,11557,1,GUARDRAIL 3'-6'' TALL,34.0,15.0,,,12455,EXP,Blast & Zinc Prime,DCS_11557,DCS_12455,POWDER,11542,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12639 not found for field E2_Quote_Key__c in entity Opportunity:--,11558,2,HANDRAIL,34.0,5.0,,,12455,EXP,Blast & Zinc Prime,DCS_11558,DCS_12455,POWDER,11543,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12639 not found for field E2_Quote_Key__c in entity Opportunity:--,11559,3,ZINC CLAD III SHERWIN,1.0,100.0,,,12455,EXP,"Sherwin Williams Zinc Clad III three-component, polyamide epoxy, zinc-rich coati",DCS_11559,DCS_12455,POWDER,11544,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11560,4,EPA,1.0,34.0,,,12455,EXP,,DCS_11560,DCS_12455,POWDER,11545,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11561,1,SCULPTURE,1.0,250.0,,,12457,EXP,96''x50''x60'',DCS_11561,DCS_12457,DUMMY,11546,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11562,2,PINS,3.0,0.0,,,12457,EXP,5''x1.5'',DCS_11562,DCS_12457,DUMMY,11547,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11563,3,DORMANT VIOLET TIGER,1.0,175.0,,,12457,EXP,Tiger Drylac Series 49 Dormant Violet 049/41100,DCS_11563,DCS_12457,DUMMY,11548,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11564,4,EPA,1.0,21.25,,,12457,EXP,,DCS_11564,DCS_12457,DUMMY,11549,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11565,1,GRATE 4X6,26.0,65.0,,,12458,EXP,"Alox Blast, Primer , Top Coat",DCS_11565,DCS_12458,POWDER,11550,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11566,2,EPA,1.0,84.5,,,12458,EXP,,DCS_11566,DCS_12458,POWDER,11551,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
